time_s,target_dof_right_hip_pitch_04,target_dof_right_hip_roll_03,target_dof_right_hip_yaw_03,target_dof_right_knee_04,target_dof_right_ankle_02,target_dof_left_hip_pitch_04,target_dof_left_hip_roll_03,target_dof_left_hip_yaw_03,target_dof_left_knee_04,target_dof_left_ankle_02,torque_dof_right_hip_pitch_04,torque_dof_right_hip_roll_03,torque_dof_right_hip_yaw_03,torque_dof_right_knee_04,torque_dof_right_ankle_02,torque_dof_left_hip_pitch_04,torque_dof_left_hip_roll_03,torque_dof_left_hip_yaw_03,torque_dof_left_knee_04,torque_dof_left_ankle_02,pos_dof_right_hip_pitch_04,pos_dof_right_hip_roll_03,pos_dof_right_hip_yaw_03,pos_dof_right_knee_04,pos_dof_right_ankle_02,pos_dof_left_hip_pitch_04,pos_dof_left_hip_roll_03,pos_dof_left_hip_yaw_03,pos_dof_left_knee_04,pos_dof_left_ankle_02,vel_dof_right_hip_pitch_04,vel_dof_right_hip_roll_03,vel_dof_right_hip_yaw_03,vel_dof_right_knee_04,vel_dof_right_ankle_02,vel_dof_left_hip_pitch_04,vel_dof_left_hip_roll_03,vel_dof_left_hip_yaw_03,vel_dof_left_knee_04,vel_dof_left_ankle_02
13.98,-0.408303,-0.277811,-0.127429,-0.800967,0.432443,0.199962,-0.111177,-0.131208,0.657191,-0.398638,-2.4827,0.1276,-1.2915,12.4112,0.7968,-0.4716,3.4505,-1.5875,-8.4004,1.9195,-0.391479,-0.278282,-0.114461,-0.883733,0.41255,0.203521,-0.128505,-0.115282,0.713125,-0.446498,-0.001655,-0.001269,-0.001565,0.000423,-0.001081,-0.002517,0.000569,-0.001508,0.001195,-0.005094
14.0,-0.408307,-0.277845,-0.127459,-0.800971,0.43241,0.199922,-0.111164,-0.131229,0.657225,-0.398611,-2.4794,0.1263,-1.2912,12.4094,0.7963,-0.4693,3.4509,-1.5864,-8.3988,1.9246,-0.391511,-0.278308,-0.114493,-0.883724,0.412528,0.20347,-0.128493,-0.115312,0.713149,-0.446601,-0.001617,-0.001278,-0.001584,0.000414,-0.001055,-0.002545,0.000569,-0.001517,0.001195,-0.005105
14.02,-0.408311,-0.277879,-0.127489,-0.800975,0.432377,0.199881,-0.111151,-0.131249,0.65726,-0.398584,-2.4761,0.1249,-1.2909,12.4076,0.7958,-0.467,3.4512,-1.5854,-8.3973,1.9298,-0.391543,-0.278334,-0.114525,-0.883716,0.412508,0.203418,-0.128482,-0.115343,0.713173,-0.446703,-0.00158,-0.001287,-0.001604,0.000405,-0.00103,-0.002573,0.00057,-0.001525,0.001195,-0.005115
14.04,-0.408313,-0.277913,-0.12752,-0.80098,0.432343,0.19984,-0.111137,-0.13127,0.657294,-0.398557,-2.4728,0.1236,-1.2907,12.4059,0.7952,-0.4647,3.4516,-1.5844,-8.3957,1.935,-0.391573,-0.27836,-0.114558,-0.883708,0.412487,0.203366,-0.128471,-0.115374,0.713197,-0.446805,-0.001542,-0.001295,-0.001624,0.000396,-0.001005,-0.002601,0.000571,-0.001533,0.001195,-0.005125
14.06,-0.408315,-0.277947,-0.127551,-0.800985,0.432308,0.199798,-0.111124,-0.131291,0.657329,-0.39853,-2.4695,0.1222,-1.2904,12.4041,0.7946,-0.4623,3.4519,-1.5833,-8.3941,1.9402,-0.391603,-0.278386,-0.114591,-0.883701,0.412467,0.203313,-0.128459,-0.115404,0.713221,-0.446908,-0.001504,-0.001304,-0.001644,0.000388,-0.000982,-0.002628,0.000571,-0.001541,0.001195,-0.005134
14.08,-0.408315,-0.277982,-0.127582,-0.80099,0.432273,0.199756,-0.111111,-0.131311,0.657363,-0.398504,-2.4662,0.1208,-1.2901,12.4022,0.794,-0.4599,3.4522,-1.5823,-8.3926,1.9454,-0.391632,-0.278412,-0.114624,-0.883693,0.412448,0.20326,-0.128448,-0.115436,0.713244,-0.447011,-0.001466,-0.001313,-0.001664,0.000379,-0.000959,-0.002656,0.000572,-0.001549,0.001195,-0.005142
14.1,-0.408315,-0.278017,-0.127613,-0.800995,0.432238,0.199714,-0.111098,-0.131332,0.657397,-0.398477,-2.4628,0.1194,-1.2897,12.4004,0.7933,-0.4574,3.4525,-1.5812,-8.391,1.9506,-0.391661,-0.278439,-0.114658,-0.883686,0.412429,0.203206,-0.128436,-0.115467,0.713268,-0.447114,-0.001429,-0.001323,-0.001683,0.000371,-0.000937,-0.002683,0.000572,-0.001557,0.001196,-0.00515
14.12,-0.408314,-0.278052,-0.127645,-0.801,0.432202,0.199672,-0.111085,-0.131353,0.657432,-0.398451,-2.4594,0.118,-1.2894,12.3986,0.7925,-0.455,3.4528,-1.5801,-8.3894,1.9557,-0.391688,-0.278466,-0.114693,-0.883678,0.412411,0.203151,-0.128425,-0.115498,0.713292,-0.447217,-0.001391,-0.001332,-0.001703,0.000362,-0.000916,-0.00271,0.000572,-0.001565,0.001197,-0.005157
14.14,-0.408312,-0.278087,-0.127677,-0.801006,0.432165,0.199629,-0.111073,-0.131374,0.657466,-0.398426,-2.456,0.1165,-1.2891,12.3967,0.7918,-0.4525,3.4531,-1.579,-8.3879,1.9609,-0.391715,-0.278493,-0.114728,-0.883671,0.412393,0.203096,-0.128414,-0.11553,0.713316,-0.44732,-0.001354,-0.001341,-0.001722,0.000354,-0.000896,-0.002736,0.000572,-0.001572,0.001198,-0.005163
14.16,-0.408309,-0.278122,-0.12771,-0.801012,0.432128,0.199586,-0.11106,-0.131394,0.657501,-0.3984,-2.4525,0.1151,-1.2888,12.3949,0.791,-0.4499,3.4534,-1.5779,-8.3863,1.9661,-0.391741,-0.27852,-0.114763,-0.883664,0.412375,0.203041,-0.128402,-0.115561,0.71334,-0.447424,-0.001317,-0.001351,-0.001741,0.000346,-0.000877,-0.002762,0.000572,-0.001579,0.0012,-0.005168
14.18,-0.408305,-0.278158,-0.127742,-0.801018,0.43209,0.199543,-0.111047,-0.131415,0.657535,-0.398375,-2.449,0.1137,-1.2884,12.393,0.7901,-0.4474,3.4536,-1.5768,-8.3848,1.9712,-0.391767,-0.278547,-0.114798,-0.883658,0.412358,0.202985,-0.128391,-0.115593,0.713364,-0.447527,-0.001281,-0.00136,-0.001759,0.000338,-0.000859,-0.002788,0.000572,-0.001586,0.0012,-0.005172
14.2,-0.4083,-0.278194,-0.127775,-0.801024,0.432052,0.199499,-0.111035,-0.131436,0.65757,-0.398349,-2.4454,0.1122,-1.2881,12.3911,0.7893,-0.4449,3.4538,-1.5757,-8.3832,1.9764,-0.391792,-0.278575,-0.114834,-0.883651,0.412341,0.202928,-0.128379,-0.115625,0.713388,-0.447631,-0.001248,-0.00137,-0.001776,0.00033,-0.000843,-0.002811,0.000572,-0.001591,0.0012,-0.005175
14.22,-0.408294,-0.278231,-0.127808,-0.801031,0.432013,0.199455,-0.111023,-0.131457,0.657604,-0.398323,-2.4412,0.1108,-1.2877,12.3893,0.7884,-0.4428,3.454,-1.5746,-8.3816,1.9816,-0.391816,-0.278602,-0.11487,-0.883645,0.412324,0.202872,-0.128368,-0.115657,0.713413,-0.447734,-0.001233,-0.001379,-0.00179,0.000321,-0.00083,-0.00282,0.000571,-0.001593,0.001201,-0.005175
14.24,-0.408288,-0.278268,-0.127842,-0.801038,0.431973,0.199411,-0.111011,-0.131478,0.657639,-0.398297,-2.4369,0.1091,-1.2874,12.3874,0.7874,-0.4408,3.4542,-1.5735,-8.3801,1.9868,-0.391841,-0.27863,-0.114906,-0.883638,0.412308,0.202815,-0.128357,-0.115689,0.713437,-0.447838,-0.001223,-0.001389,-0.001802,0.000311,-0.000819,-0.002825,0.00057,-0.001593,0.001201,-0.005173
14.26,-0.408281,-0.278306,-0.127876,-0.801045,0.431932,0.199367,-0.110999,-0.131499,0.657673,-0.39827,-2.4324,0.1074,-1.287,12.3855,0.7864,-0.4388,3.4543,-1.5724,-8.3785,1.992,-0.391865,-0.278659,-0.114943,-0.883632,0.412291,0.202759,-0.128345,-0.115721,0.713461,-0.447941,-0.001213,-0.0014,-0.001815,0.000301,-0.000809,-0.002831,0.000568,-0.001594,0.001199,-0.00517
14.28,-0.408272,-0.278344,-0.12791,-0.801053,0.43189,0.199322,-0.110987,-0.13152,0.657708,-0.398243,-2.4278,0.1057,-1.2867,12.3836,0.7854,-0.4369,3.4545,-1.5713,-8.3768,1.9972,-0.391889,-0.278687,-0.11498,-0.883627,0.412275,0.202702,-0.128334,-0.115753,0.713485,-0.448045,-0.001203,-0.001411,-0.001828,0.000291,-0.0008,-0.002837,0.000566,-0.001594,0.001198,-0.005166
